chat_id,customer_id,message,timestamp,sentiment
CH_0001,CUST_001,Đi Đà Nẵng thì hộ chiếu còn hạn bao lâu là được bạn nhỉ?,2026-04-09 02:01:00,Neutral
CH_0002,CUST_014,Tư vấn giúp mình hành trình từ Đà Nẵng đi Sydney giá tốt nhất cho đoàn khách 5 người.,2026-04-02 03:28:00,Neutral
CH_0003,CUST_015,Bên bạn còn chuyến bay nào của Qantas đi TP.HCM sáng sớm không?,2026-04-11 15:14:00,Neutral
CH_0004,CUST_003,Cho mình hỏi thủ tục mang thú cưng lên máy bay đi Tokyo nhé.,2026-04-10 13:52:00,Neutral
CH_0005,CUST_011,"Tôi có thẻ thành viên Platinum, check giúp tôi có được ưu tiên chọn ghế hàng thoát hiểm không?",2026-04-06 13:46:00,Positive
CH_0006,CUST_010,Cho mình hỏi thủ tục mang thú cưng lên máy bay đi Bangkok nhé.,2026-04-02 14:39:00,Neutral
CH_0007,CUST_013,Hạng vé Economy của VietJet Air có được mang theo 20kg hành lý ký gửi không?,2026-04-07 06:15:00,Neutral
CH_0008,CUST_002,"Tôi có thẻ thành viên Platinum, check giúp tôi có được ưu tiên chọn ghế hàng thoát hiểm không?",2026-04-03 03:07:00,Positive
CH_0009,CUST_015,Cho mình hỏi hạng Economy đi Đà Nẵng có được vào phòng chờ thương gia không?,2026-04-05 16:36:00,Neutral
CH_0010,CUST_013,Hạng vé Economy của VietJet Air có được mang theo 20kg hành lý ký gửi không?,2026-04-10 06:40:00,Neutral
CH_0011,CUST_010,"Hành lý của tôi bị hỏng sau chuyến bay Qantas, tôi cần gặp ai để giải quyết?",2026-04-02 01:34:00,Negative
CH_0012,CUST_006,"Sắp tới mình bay đi Seoul, mình muốn đăng ký hỗ trợ xe lăn cho người cao tuổi.",2026-04-06 05:42:00,Neutral
CH_0013,CUST_011,Vé máy bay đi Hong Kong hạng Business ngày 24/04/2026 còn không bạn?,2026-04-07 19:02:00,Neutral
CH_0014,CUST_003,"Vừa bay về từ Singapore, cảm ơn đội ngũ hỗ trợ đã giúp mình đổi vé phút chót!",2026-04-03 08:36:00,Positive
CH_0015,CUST_005,Hạng vé Economy của VietJet Air có được mang theo 20kg hành lý ký gửi không?,2026-04-09 20:55:00,Neutral
CH_0016,CUST_013,Bên bạn còn chuyến bay nào của Cathay Pacific đi Singapore sáng sớm không?,2026-04-11 06:18:00,Neutral
CH_0017,CUST_009,"Vừa bay về từ Hong Kong, cảm ơn đội ngũ hỗ trợ đã giúp mình đổi vé phút chót!",2026-04-03 04:20:00,Positive
CH_0018,CUST_013,Chuyến bay từ Hà Nội đi Đà Nẵng có yêu cầu giấy tờ đặc biệt gì không?,2026-04-04 18:14:00,Neutral
CH_0019,CUST_010,Rất hài lòng với cách phục vụ của Vietnam Airlines trên chuyến bay hôm qua.,2026-04-01 02:04:00,Positive
CH_0020,CUST_001,"Tôi có thẻ thành viên Platinum, check giúp tôi có được ưu tiên chọn ghế hàng thoát hiểm không?",2026-04-08 04:40:00,Positive
CH_0021,CUST_011,Tại sao chuyến bay VN780 lại bị hoãn tận 3 tiếng mà không thông báo trước vậy?,2026-04-08 22:07:00,Negative
CH_0022,CUST_011,Cho mình hỏi thủ tục mang thú cưng lên máy bay đi Bangkok nhé.,2026-04-02 06:35:00,Neutral
CH_0023,CUST_004,Bên bạn còn chuyến bay nào của Qantas đi Singapore sáng sớm không?,2026-04-04 06:10:00,Neutral
